songid,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,
367,Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81,0
368,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81,0
369,Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80,0
373,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80,0
375,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,-6,6,59,214,10,4,79,0
376,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,11,45,230,3,13,79,0
377,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,18,42,225,40,4,79,0
379,Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5,76,207,2,7,78,0
380,"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16,38,251,2,10,78,0
382,Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,-5,36,29,236,5,4,78,0
383,Starving,Hailee Steinfeld,dance pop,2016,100,62,73,-4,11,51,182,38,6,78,0
384,Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77,-4,11,80,246,2,9,77,0
385,Electric Love,BØRNS,electropop,2016,120,80,61,-8,26,52,218,1,5,76,0
388,Roses,The Chainsmokers,electropop,2016,100,80,71,-7,31,34,227,4,6,74,0
390,Me Too,Meghan Trainor,dance pop,2016,124,69,93,-6,48,84,181,10,10,73,0
393,Close,Nick Jonas,dance pop,2016,124,62,65,-5,14,40,234,25,8,72,0
394,Toothbrush,DNCE,dance pop,2016,105,79,55,-6,47,82,232,12,13,72,0
395,All We Know,The Chainsmokers,electropop,2016,90,59,66,-9,12,30,194,10,3,72,0
396,Final Song,MØ,dance pop,2016,105,67,70,-6,8,25,236,1,3,72,0
398,Hands To Myself,Selena Gomez,dance pop,2016,111,50,81,-7,34,47,201,1,12,71,0
401,NO,Meghan Trainor,dance pop,2016,92,80,56,-4,74,65,214,1,22,70,0
402,Kill Em With Kindness,Selena Gomez,dance pop,2016,120,88,76,-5,10,40,218,1,4,70,0
403,Cool Girl,Tove Lo,dance pop,2016,102,69,67,-7,8,20,199,31,11,69,0
404,Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,85,32,-6,48,8,213,1,8,69,0
405,Here,Alessia Cara,canadian contemporary r&b,2016,120,82,38,-4,8,33,199,8,10,68,0
407,PILLOWTALK,ZAYN,dance pop,2016,125,70,59,-4,9,43,204,10,5,66,0
410,Wherever I Go,OneRepublic,dance pop,2016,100,69,55,-6,27,35,170,9,4,66,0
412,Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,47,-6,10,27,216,60,4,65,0
413,LIKE I WOULD,ZAYN,dance pop,2016,113,83,56,-6,26,23,192,2,11,65,0
415,I Got You,Bebe Rexha,dance pop,2016,98,89,61,-5,9,32,192,5,5,64,0
417,Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,88,60,-4,16,32,228,2,12,63,0
420,Desire,Years & Years,dance pop,2016,126,78,71,-5,30,64,203,30,6,58,0
422,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,77,68,-5,16,72,224,11,10,57,0
423,Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016,94,57,37,-6,13,12,403,72,3,57,0
424,Hurts,Emeli Sandé,dance pop,2016,106,64,58,-8,15,18,238,2,3,57,0
427,Keeping Your Head Up,Birdy,neo mellow,2016,122,78,60,-5,19,53,208,16,5,52,0
428,True Colors,Zedd,complextro,2016,126,79,57,-3,10,49,225,40,4,51,0
430,Champagne Problems,Nick Jonas,dance pop,2016,108,78,73,-5,9,64,193,0,13,50,0
431,Blown,DNCE,dance pop,2016,130,95,63,-5,10,73,197,0,4,48,0
436,One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,69,75,-5,13,52,192,26,4,41,0
441,Picky - Remix,Joey Montana,latin,2016,186,81,70,-3,37,69,225,9,7,29,0
445,Closer,The Chainsmokers,electropop,2017,95,52,75,-6,11,66,245,41,3,86,0
446,Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,-7,14,49,230,14,28,85,0
447,Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,84,0
449,Let Me Love You,DJ Snake,electronic trap,2017,100,72,65,-5,14,16,206,9,3,82,0
450,I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77,-6,7,59,269,43,12,81,0
451,Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,81,0
452,Side To Side,Ariana Grande,dance pop,2017,159,74,65,-6,24,61,226,5,23,80,0
453,Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,80,0
454,It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,79,0
456,Something Just Like This,The Chainsmokers,electropop,2017,103,65,61,-7,17,51,248,3,4,78,0
457,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,72,-4,18,74,251,41,5,78,0
458,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,74,-8,33,9,245,6,6,78,0
461,Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,77,0
464,There for You,Martin Garrix,big room,2017,106,64,61,-8,12,13,222,12,6,76,0
465,Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9,25,222,2,3,76,0
466,Crying in the Club,Camila Cabello,dance pop,2017,85,62,33,-6,16,60,216,33,38,75,0
467,Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,57,184,10,4,75,0
471,Cold (feat. Future),Maroon 5,pop,2017,100,72,69,-6,5,41,234,14,11,72,0
473,Reggaetón Lento (Remix),CNCO,boy band,2017,94,91,53,-3,10,62,189,15,9,71,0
475,First Time,Kygo,edm,2017,90,59,63,-7,10,68,194,20,11,71,0
477,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,31,-10,7,16,176,16,35,71,0
478,Bodak Yellow,Cardi B,pop,2017,125,72,93,-6,35,46,224,7,11,70,0
479,Rich Love (with Seeb),OneRepublic,dance pop,2017,105,87,40,-4,36,47,201,17,31,70,0
480,Tired,Alan Walker,electro house,2017,124,88,69,-4,15,49,192,4,6,70,0
481,Came Here for Love,Sigala,dance pop,2017,125,87,71,-3,12,72,203,3,4,70,0
483,Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,87,-5,8,55,202,20,5,69,0
485,OK - Spotify Version,Robin Schulz,dance pop,2017,122,81,65,-6,13,58,189,12,6,69,0
488,Get Low (with Liam Payne),Zedd,complextro,2017,108,93,72,-4,5,54,205,3,5,66,0
489,Kissing Strangers,DNCE,dance pop,2017,120,74,77,-6,9,86,202,5,4,66,0
490,Slow Hands,Niall Horan,dance pop,2017,86,42,74,-7,6,85,188,1,5,64,0
492,Body Moves,DNCE,dance pop,2017,102,69,65,-5,4,86,236,0,4,62,0
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73,-7,8,53,158,2,4,59,0
494,Angel,Fifth Harmony,dance pop,2017,124,53,74,-6,35,13,189,0,4,59,0
495,Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,64,-4,49,53,203,4,11,59,0
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,-5,45,67,218,49,22,59,0
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37,-9,20,21,180,6,12,59,0
498,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,76,69,-4,14,59,223,8,4,57,0
499,Rich Boy,Galantis,big room,2017,110,90,74,-2,8,65,184,7,5,55,0
502,Influence,Tove Lo,dance pop,2017,105,59,77,-10,11,33,225,10,5,54,0
503,Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,-6,4,84,202,14,28,53,0
507,Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,76,-6,8,81,202,8,5,43,0
508,A L I E N S,Coldplay,permanent wave,2017,148,88,43,-5,21,25,282,0,4,41,0
510,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85,0
511,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85,0
512,New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,0,7,84,0
513,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84,0
514,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,84,0
515,IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,4,9,84,0
516,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,83,0
517,Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83,0
518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83,0
519,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,83,0
520,Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,1,5,82,0
522,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,-4,8,74,175,3,5,82,0
523,Silence,Marshmello,brostep,2018,142,76,52,-3,17,29,181,26,9,82,0
526,These Days,Rudimental,dance pop,2018,92,81,65,-4,17,55,211,19,5,80,0
527,What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10,42,200,8,6,79,0
530,Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9,61,181,6,3,78,0
531,Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78,0
534,My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76,0
535,Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5,46,219,3,8,76,0
536,Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12,45,193,11,5,76,0
537,Tequila,Dan + Shay,contemporary country,2018,86,59,47,-6,13,50,196,3,3,76,0
539,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,-7,13,32,191,56,12,75,0
540,Bad Liar,Selena Gomez,dance pop,2018,121,41,97,-6,8,73,215,19,7,75,0
541,Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10,32,215,4,6,74,0
544,Sign of the Times,Harry Styles,dance pop,2018,120,57,52,-5,11,21,341,3,3,72,0
545,Familiar,Liam Payne,dance pop,2018,93,81,64,-5,8,91,197,2,33,72,0
546,Let Me,ZAYN,dance pop,2018,168,57,46,-6,10,19,185,24,5,72,0
547,Supernova,Ansel Elgort,dance pop,2018,140,62,77,-5,21,68,191,6,10,72,0
548,Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13,74,164,4,8,71,0
549,First Time,Kygo,edm,2018,90,59,63,-7,10,68,194,20,11,71,0
551,Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,76,-6,23,47,210,2,8,68,0
552,Lemon,N.E.R.D,hip hop,2018,95,73,92,-7,12,20,220,0,9,68,0
553,For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,-5,42,18,243,2,3,67,0
554,Want To,Dua Lipa,dance pop,2018,92,69,57,-5,6,32,212,8,12,67,0
555,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63,-4,16,41,220,5,6,67,0
556,Wait,Maroon 5,pop,2018,126,60,66,-5,11,45,191,10,6,67,0
558,Kissing Strangers,DNCE,dance pop,2018,120,74,77,-6,9,86,202,5,4,66,0
561,This Town,Niall Horan,dance pop,2018,112,41,68,-8,12,20,233,70,3,64,0
562,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,-4,10,42,221,2,5,64,0
564,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75,-5,11,45,186,25,9,64,0
566,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,-4,12,25,227,16,9,57,0
567,Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10,42,213,2,3,57,0
569,Boom Boom,RedOne,moroccan pop,2018,110,76,75,-8,20,58,248,0,5,53,0
571,Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45,0
573,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,99,0
574,Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,58,4,97,0
575,Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,96,0
576,Señorita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9,75,191,4,3,95,0
577,How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,15,9,93,0
579,Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,56,3,92,0
580,Happier,Marshmello,brostep,2019,100,79,69,-3,17,67,214,19,5,90,0
581,Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,11,11,90,0
582,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74,48,159,30,6,90,0
583,Higher Love,Kygo,edm,2019,104,68,69,-7,10,40,228,2,3,88,0
584,Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,87,0
586,Sucker,Jonas Brothers,boy band,2019,138,73,84,-5,11,95,181,4,6,86,0
587,Don't Call Me Up,Mabel,dance pop,2019,99,88,67,-3,8,23,178,30,15,86,0
589,Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,-9,6,35,198,5,13,84,0
591,Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,13,3,83,0
592,All Around The World (La La La),R3HAB,big room,2019,125,86,73,-5,11,52,148,48,3,82,0
593,Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85,-7,13,45,236,57,5,81,0
594,Call You Mine,The Chainsmokers,electropop,2019,104,70,59,-6,34,52,218,20,3,81,0
597,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,-4,6,62,213,16,23,77,0
603,Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,-9,13,23,213,6,6,67,0
